PHOTOELECTRIC EFFECT LAB - RAW DATA
Date: 2026-04-06 17:49:34
Portland State University Physics Dept.
Photocathode: Material #1
Work Function: 4.3700 eV
Wavelength: 4700 Angstroms
Frequency: 6.378563e+14 Hz
============================================================

Raw Current Data:
----------------------------------------
V_r (V)		I_total (A)		sigma_I (A)
0.00000		1.259564e-13		7.087079e-12
0.00307		8.258390e-13		7.349470e-12
0.00615		-1.231078e-12		6.934699e-12
0.00922		-1.721893e-13		6.538426e-12
0.01229		-1.643110e-13		7.346548e-12
0.01537		-8.799514e-13		6.583483e-12
0.01844		1.796066e-12		6.784384e-12
0.02151		6.303709e-13		7.165127e-12
0.02458		-1.066605e-12		6.494848e-12
0.02766		4.284825e-13		6.601824e-12
0.03073		4.079475e-14		7.118784e-12
0.03380		1.543591e-13		7.065810e-12
0.03688		4.957582e-13		7.366417e-12
0.03995		9.310929e-13		7.399263e-12
0.04302		2.729548e-13		7.070790e-12
0.04610		4.698108e-14		6.962014e-12
0.04917		8.201160e-13		6.690219e-12
0.05224		-2.099870e-13		7.507597e-12
0.05532		7.666570e-13		7.060397e-12
0.05839		-4.406448e-13		7.824683e-12
0.06146		8.805855e-13		7.121226e-12
0.06453		3.012434e-13		7.031555e-12
0.06761		2.104314e-13		6.772880e-12
0.07068		4.694326e-13		6.628192e-12
0.07375		-1.058672e-13		7.014590e-12
0.07683		2.110291e-13		6.825732e-12
0.07990		6.663702e-13		7.458928e-12
0.08297		-3.583506e-13		6.800927e-12
0.08605		-9.954968e-13		6.780899e-12
0.08912		6.104083e-13		7.487224e-12
0.09219		-2.260242e-13		7.160275e-12
0.09527		-1.082203e-13		6.748972e-12
0.09834		6.213154e-13		7.368709e-12
0.10141		-1.150277e-13		6.712026e-12
0.10448		-9.205402e-13		7.400495e-12
0.10756		1.103255e-13		6.806443e-12
0.11063		-1.193190e-12		6.889413e-12
0.11370		-3.195326e-13		6.700237e-12
0.11678		-4.344025e-13		6.605911e-12
0.11985		2.722239e-13		7.071412e-12
0.12292		6.784498e-13		6.999613e-12
0.12600		1.397136e-13		6.907418e-12
0.12907		-5.740401e-13		7.435200e-12
0.13214		6.114583e-13		7.246518e-12
0.13522		1.158035e-13		7.038486e-12
0.13829		-6.818417e-13		6.873752e-12
0.14136		1.203221e-12		6.773450e-12
0.14443		6.821671e-13		7.588198e-12
0.14751		-1.544671e-12		6.448029e-12
0.15058		5.952250e-13		6.418126e-12
0.15365		4.160446e-14		6.964066e-12
0.15673		-4.474990e-14		6.942094e-12
0.15980		-7.223568e-13		7.331786e-12
0.16287		2.108194e-13		6.799362e-12
0.16595		-1.328822e-13		7.200263e-12
0.16902		-1.389014e-12		6.641810e-12
0.17209		-2.863878e-13		7.048475e-12
0.17517		3.298230e-14		6.467060e-12
0.17824		-1.829335e-13		6.272476e-12
0.18131		-3.610696e-13		7.300241e-12
0.18438		-2.030206e-14		7.260336e-12
0.18746		-6.545946e-13		7.501052e-12
0.19053		-1.060224e-12		6.498489e-12
0.19360		-3.267672e-13		7.755264e-12
0.19668		1.196864e-12		7.297541e-12
0.19975		-9.618496e-13		7.323236e-12
0.20282		-9.500638e-13		7.275436e-12
0.20590		-2.389550e-13		6.737040e-12
0.20897		-5.659245e-14		7.547866e-12
0.21204		-1.587885e-13		7.052015e-12
0.21512		-9.981532e-13		7.611518e-12
0.21819		-6.938604e-13		6.786316e-12
0.22126		-3.223733e-13		6.739209e-12
0.22433		-1.659223e-13		7.591809e-12
0.22741		9.187898e-14		6.442402e-12
0.23048		-5.924589e-15		7.454505e-12
0.23355		4.292895e-13		7.033318e-12
0.23663		-3.137873e-13		6.607773e-12
0.23970		-1.268995e-12		6.874813e-12
0.24277		1.279605e-12		7.657622e-12
0.24585		1.076862e-12		7.263163e-12
0.24892		3.671425e-13		7.055016e-12
0.25199		-1.447063e-13		7.859913e-12
0.25507		-2.771755e-13		7.753694e-12
0.25814		1.372831e-12		7.027065e-12
0.26121		-5.956754e-13		6.867716e-12
0.26428		-1.551752e-12		7.203881e-12
0.26736		-3.086263e-13		7.593378e-12
0.27043		-4.537614e-13		6.533251e-12
0.27350		-2.159800e-13		7.108359e-12
0.27658		1.257534e-12		7.241399e-12
0.27965		-2.130773e-13		6.955314e-12
0.28272		2.743271e-13		7.208133e-12
0.28580		3.377940e-13		6.700085e-12
0.28887		-4.061263e-13		7.047297e-12
0.29194		-6.682149e-14		7.195279e-12
0.29502		-3.640383e-14		6.822142e-12
0.29809		1.403492e-13		7.398560e-12
0.30116		1.198881e-12		6.943062e-12
0.30423		-7.432283e-13		6.588631e-12
0.30731		-8.583151e-14		7.340100e-12
0.31038		-4.708706e-13		7.316067e-12
0.31345		-8.685665e-13		7.630784e-12
0.31653		1.544670e-12		6.950246e-12
0.31960		-1.442065e-12		6.929683e-12
0.32267		1.330421e-12		7.347611e-12
0.32575		1.348368e-13		6.678225e-12
0.32882		-3.404814e-13		7.284413e-12
0.33189		6.812215e-13		8.182641e-12
0.33496		-3.298829e-13		7.184350e-12
0.33804		4.109076e-14		7.157929e-12
0.34111		4.015429e-13		7.466155e-12
0.34418		-1.654607e-13		6.541343e-12
0.34726		-3.474132e-14		6.939594e-12
0.35033		8.638045e-13		7.563974e-12
0.35340		7.618840e-13		6.937840e-12
0.35648		-1.082231e-12		7.266766e-12
0.35955		-5.822883e-13		7.151678e-12
0.36262		5.335760e-13		7.209957e-12
0.36570		5.804357e-13		6.608698e-12
0.36877		-3.724606e-13		6.637137e-12
0.37184		-5.101430e-13		7.509763e-12
0.37491		-9.074612e-13		7.039344e-12
0.37799		-2.450018e-13		7.234999e-12
0.38106		-1.184524e-12		6.621574e-12
0.38413		-1.391319e-12		7.203062e-12
0.38721		-2.575431e-13		6.732235e-12
0.39028		2.438339e-14		7.328760e-12
0.39335		-1.034377e-13		6.734697e-12
0.39643		-1.608624e-12		6.885967e-12
0.39950		-7.726976e-13		7.038406e-12
0.40257		3.127652e-14		7.394456e-12
0.40565		1.498321e-14		7.049123e-12
0.40872		-9.967450e-13		8.102051e-12
0.41179		-5.585079e-14		7.029722e-12
0.41486		2.780006e-14		7.141342e-12
0.41794		-8.039951e-13		7.398257e-12
0.42101		-2.391967e-13		6.870537e-12
0.42408		-4.817376e-13		7.210940e-12
0.42716		-7.944558e-13		6.727234e-12
0.43023		-6.698455e-13		7.026126e-12
0.43330		-2.042750e-13		7.035607e-12
0.43638		-1.295278e-12		6.920384e-12
0.43945		3.759359e-15		6.496951e-12
0.44252		-1.040694e-12		7.185353e-12
0.44560		6.776719e-14		6.265086e-12
0.44867		-2.799589e-14		7.123187e-12
0.45174		1.190494e-12		7.236511e-12
0.45481		-9.140944e-13		7.040011e-12
0.45789		7.123970e-13		7.631034e-12
0.46096		-7.764211e-13		7.413951e-12
0.46403		1.059039e-12		6.902439e-12
0.46711		1.097021e-13		6.797374e-12
0.47018		2.036223e-12		7.510705e-12
0.47325		1.122365e-12		6.528461e-12
0.47633		6.813567e-13		6.742767e-12
0.47940		-3.394114e-13		6.951187e-12
0.48247		-8.858709e-13		7.469884e-12
0.48555		-3.292979e-13		7.690879e-12
0.48862		4.445295e-13		7.089359e-12
0.49169		3.515176e-13		6.892417e-12
0.49476		6.610435e-13		6.994150e-12
0.49784		6.589509e-13		7.216671e-12
0.50091		6.629584e-13		6.828168e-12
0.50398		5.181319e-13		7.007366e-12
0.50706		-9.359733e-13		7.129195e-12
0.51013		2.969496e-13		6.996257e-12
0.51320		-2.697629e-13		6.755496e-12
0.51628		-2.525692e-13		6.914187e-12
0.51935		-1.475747e-12		6.329646e-12
0.52242		1.335022e-12		7.835582e-12
0.52550		-4.939295e-13		7.261916e-12
0.52857		-2.067034e-12		6.709141e-12
0.53164		7.745056e-13		6.993935e-12
0.53471		-4.071154e-13		6.644032e-12
0.53779		2.392961e-13		7.038690e-12
0.54086		-2.727808e-13		7.256802e-12
0.54393		-8.319034e-14		7.735984e-12
0.54701		1.056968e-12		6.720392e-12
0.55008		1.659114e-13		6.147703e-12
0.55315		1.491854e-12		6.545660e-12
0.55623		4.538531e-13		7.283006e-12
0.55930		-1.348322e-12		7.351352e-12
0.56237		4.721951e-13		6.835988e-12
0.56545		-4.645664e-13		6.356458e-12
0.56852		-1.810569e-12		7.087444e-12
0.57159		5.938593e-13		6.812807e-12
0.57466		-1.885507e-13		6.404666e-12
0.57774		-6.244725e-14		6.820629e-12
0.58081		4.661637e-13		6.965665e-12
0.58388		-2.426530e-13		7.570989e-12
0.58696		1.162679e-12		6.705025e-12
0.59003		-7.214119e-14		7.399545e-12
0.59310		-4.489062e-13		7.399145e-12
0.59618		5.631867e-13		6.522135e-12
0.59925		-9.746923e-13		7.283912e-12
0.60232		3.748077e-13		7.245976e-12
0.60540		-1.069212e-12		7.061677e-12
0.60847		1.779099e-13		7.056780e-12
0.61154		-6.325488e-13		7.836428e-12
0.61461		3.910868e-13		6.964783e-12
0.61769		-1.827828e-13		6.500395e-12
0.62076		-8.527465e-13		7.612785e-12
0.62383		-3.851332e-13		6.791229e-12
0.62691		7.885994e-13		7.591722e-12
0.62998		8.331679e-13		7.856654e-12
0.63305		-1.978614e-14		7.781341e-12
0.63613		3.208341e-13		7.062742e-12
0.63920		-5.318770e-13		7.245352e-12
0.64227		2.031804e-14		6.326468e-12
0.64535		-1.754423e-12		7.072840e-12
0.64842		6.860512e-13		7.362313e-12
0.65149		-2.303333e-13		7.111963e-12
0.65456		7.424585e-13		7.439637e-12
0.65764		7.899493e-13		6.921794e-12
0.66071		-1.162752e-12		6.923466e-12
0.66378		6.541497e-15		6.994087e-12
0.66686		2.069564e-14		7.087586e-12
0.66993		8.290542e-15		7.089061e-12
0.67300		-9.471622e-15		6.630418e-12
0.67608		-3.986434e-14		7.558361e-12
0.67915		4.117412e-13		6.613912e-12
0.68222		8.432101e-13		7.289951e-12
0.68530		2.864567e-13		6.949170e-12
0.68837		-1.336898e-13		6.878676e-12
0.69144		-8.220678e-14		7.965208e-12
0.69451		1.585728e-12		7.031736e-12
0.69759		3.117157e-13		7.411506e-12
0.70066		8.707030e-14		7.069524e-12
0.70373		-8.453143e-13		6.707514e-12
0.70681		-1.081485e-12		7.154993e-12
0.70988		-1.636230e-13		6.515356e-12
0.71295		9.479917e-13		7.224516e-12
0.71603		9.982361e-13		6.870090e-12
0.71910		-5.685141e-13		7.706014e-12
0.72217		4.696947e-13		7.233296e-12
0.72525		-5.966183e-13		6.984826e-12
0.72832		6.498241e-13		7.059123e-12
0.73139		4.863077e-13		7.019553e-12
0.73446		5.029384e-13		6.872152e-12
0.73754		4.279113e-13		8.001777e-12
0.74061		4.808451e-13		6.761001e-12
0.74368		5.202791e-13		7.105957e-12
0.74676		-5.228217e-13		7.509291e-12
0.74983		8.495123e-13		7.048931e-12
0.75290		-7.846458e-13		7.184510e-12
0.75598		-7.794543e-13		7.044141e-12
0.75905		9.200349e-13		7.016899e-12
0.76212		1.899529e-13		7.087510e-12
0.76520		-1.632669e-12		7.099879e-12
0.76827		2.220002e-13		7.046402e-12
0.77134		-6.841863e-13		6.924251e-12
0.77441		9.133531e-13		7.528262e-12
0.77749		-4.755990e-13		6.756818e-12
0.78056		-1.624455e-12		6.795814e-12
0.78363		-1.866277e-13		6.965706e-12
0.78671		-3.557935e-13		6.668741e-12
0.78978		1.630140e-13		7.481124e-12
0.79285		1.229688e-12		7.063686e-12
0.79593		2.861998e-13		6.778834e-12
0.79900		2.860583e-13		7.192084e-12
0.80207		-6.391411e-13		7.556344e-12
0.80515		1.400816e-12		7.521762e-12
0.80822		-1.173788e-13		7.269713e-12
0.81129		-6.234854e-13		7.341101e-12
0.81436		-1.640926e-13		7.928085e-12
0.81744		1.844745e-12		7.831835e-12
0.82051		9.041923e-14		7.961062e-12
0.82358		5.885611e-13		7.214441e-12
0.82666		-3.996290e-13		6.699689e-12
0.82973		-2.687818e-13		7.140341e-12
0.83280		-3.122126e-13		7.232888e-12
0.83588		1.128038e-12		7.031225e-12
0.83895		-9.812221e-13		7.024659e-12
0.84202		5.371031e-13		6.783164e-12
0.84510		-3.377587e-13		6.968192e-12
0.84817		-7.317496e-13		6.506781e-12
0.85124		8.037679e-13		7.238098e-12
0.85431		2.385888e-14		7.315437e-12
0.85739		5.456308e-14		7.139081e-12
0.86046		-7.430415e-13		6.841657e-12
0.86353		-1.147437e-12		6.700842e-12
0.86661		-6.318931e-13		7.215970e-12
0.86968		2.658667e-13		6.322272e-12
0.87275		-7.358675e-13		6.633311e-12
0.87583		-2.734246e-13		7.171048e-12
0.87890		-1.198070e-12		6.737542e-12
0.88197		1.434764e-12		6.879146e-12
0.88505		1.000856e-12		6.925038e-12
0.88812		-9.916351e-13		7.594560e-12
0.89119		6.302440e-13		6.926478e-12
0.89426		-1.737210e-13		6.748633e-12
0.89734		1.394730e-12		6.421096e-12
0.90041		1.036184e-12		6.691542e-12
0.90348		-6.235600e-13		7.682632e-12
0.90656		-9.346217e-13		6.846302e-12
0.90963		1.127736e-12		7.320358e-12
0.91270		4.406136e-13		7.618229e-12
0.91578		1.126418e-13		7.248338e-12
0.91885		6.255107e-13		6.562146e-12
0.92192		-1.066549e-12		7.356625e-12
0.92499		1.589933e-13		8.207904e-12
0.92807		-7.356284e-14		6.957812e-12
0.93114		5.010655e-13		6.086559e-12
0.93421		5.436464e-13		7.139434e-12
0.93729		-3.886218e-13		7.583800e-12
0.94036		-4.507297e-14		6.779270e-12
0.94343		-5.796825e-13		7.336639e-12
0.94651		1.162370e-12		6.546397e-12
0.94958		-7.856948e-14		7.098901e-12
0.95265		-6.569858e-13		7.043759e-12
0.95573		9.159846e-13		7.790190e-12
0.95880		-3.967062e-13		7.126141e-12
0.96187		-4.505473e-13		7.523393e-12
0.96494		6.610178e-13		7.683639e-12
0.96802		5.335119e-13		7.703520e-12
0.97109		5.114405e-14		6.730552e-12
0.97416		7.722334e-13		7.437359e-12
0.97724		-6.434513e-13		7.045565e-12
0.98031		-9.077211e-13		6.934150e-12
0.98338		-3.620270e-13		6.961626e-12
0.98646		5.672346e-13		7.824775e-12
0.98953		-2.159091e-13		7.017017e-12
0.99260		3.752845e-13		7.317205e-12
0.99568		-2.012738e-13		7.005793e-12
0.99875		1.468295e-12		6.957270e-12
1.00182		4.180036e-13		7.205332e-12
1.00489		3.653557e-13		7.063989e-12
1.00797		-1.515199e-13		6.899498e-12
1.01104		-1.015001e-12		7.658624e-12
1.01411		-1.260723e-12		6.587907e-12
1.01719		-2.738137e-14		6.702260e-12
1.02026		-4.276554e-13		6.892253e-12
1.02333		-1.882937e-13		7.464515e-12
1.02641		-7.941753e-13		6.752728e-12
1.02948		-2.998845e-13		7.044198e-12
1.03255		-3.258009e-13		7.106230e-12
1.03563		8.903021e-13		6.682981e-12
1.03870		-8.442129e-13		7.043813e-12
1.04177		9.508792e-13		7.198542e-12
1.04484		-4.549220e-13		6.956576e-12
1.04792		6.218067e-15		6.946244e-12
1.05099		3.217376e-13		6.823383e-12
1.05406		1.134817e-12		6.986925e-12
1.05714		-7.318204e-13		6.884720e-12
1.06021		6.385282e-13		7.368621e-12
1.06328		-7.985593e-13		6.849184e-12
1.06636		5.195861e-13		7.009527e-12
1.06943		-5.375412e-13		7.591063e-12
1.07250		-4.413273e-13		6.467872e-12
1.07558		-2.195398e-13		7.305943e-12
1.07865		1.193235e-12		6.782615e-12
1.08172		6.142099e-13		7.369655e-12
1.08479		4.897662e-13		7.339561e-12
1.08787		4.394527e-13		6.495100e-12
1.09094		6.567369e-13		7.088610e-12
1.09401		8.653478e-13		6.990053e-12
1.09709		1.194337e-13		7.323206e-12
1.10016		9.234467e-14		7.022229e-12
1.10323		1.433338e-12		6.813667e-12
1.10631		-2.897413e-14		7.096278e-12
1.10938		1.116588e-12		7.685402e-12
1.11245		-8.689703e-14		6.951225e-12
1.11553		-2.742603e-13		6.906763e-12
1.11860		-1.469147e-12		6.639450e-12
1.12167		-1.670119e-13		7.418559e-12
1.12474		1.827470e-12		6.394907e-12
1.12782		6.364998e-13		6.790285e-12
1.13089		1.069324e-12		7.067479e-12
1.13396		-5.742616e-13		7.445631e-12
1.13704		1.350651e-13		6.896000e-12
1.14011		-9.881402e-13		7.704489e-12
1.14318		1.335300e-12		7.650116e-12
1.14626		6.919396e-13		7.474241e-12
1.14933		1.148264e-12		6.721127e-12
