wavelength_A,frequency_Hz,a,b,sigma_a,sigma_b,Vs,sigma_Vs
1.700000000000000000e+03,1.763485000000000000e+15,2.237009536101031533e-10,-7.610371893974753956e-11,6.562775255172707031e-13,2.552621628602948142e-13,2.939422103500757721e+00,1.309840824737491631e-02
1.800000000000000000e+03,1.665514000000000000e+15,4.320616488233782960e-10,-1.701098261446208826e-10,1.207768795197569427e-12,5.580522695879330791e-13,2.539898244655520276e+00,1.094693179426276669e-02
1.900000000000000000e+03,1.577855000000000000e+15,7.574985565851578420e-10,-3.447485123522380027e-10,2.279036677133796451e-12,1.342974291928813991e-12,2.197249674601069902e+00,1.081505639670717403e-02
2.000000000000000000e+03,1.498962000000000000e+15,9.932058793734875887e-10,-3.778770551818161640e-10,4.485680254102952022e-12,6.684372053175700755e-12,2.628383665410976011e+00,4.798568352939649312e-02
2.100000000000000000e+03,1.427583000000000000e+15,1.603040661691998482e-09,-7.377430902500576202e-10,7.206211616365421030e-12,1.279144950375212367e-11,2.172898239072152737e+00,3.892072201398535242e-02
2.200000000000000000e+03,1.362693000000000000e+15,2.437713853018485286e-09,-1.332688310050407761e-09,1.095281621496915352e-11,2.343718576183487146e-11,1.829170282829509331e+00,3.320178516178202283e-02
2.300000000000000000e+03,1.303445000000000000e+15,3.629099671048763468e-09,-2.540500042743120581e-09,1.616141105509823814e-11,4.230148946273009375e-11,1.428498173584055841e+00,2.462171484808783894e-02
2.400000000000000000e+03,1.249135000000000000e+15,5.136253305158634278e-09,-4.619179694036756607e-09,2.299813881395680492e-11,7.688035706463490076e-11,1.111940570701201780e+00,1.916485544872797986e-02
2.500000000000000000e+03,1.199170000000000000e+15,6.886518207445533097e-09,-7.499635762316216245e-09,3.157522302181346133e-11,1.671127976222755518e-10,9.182470223485459382e-01,2.088977877467830188e-02
2.600000000000000000e+03,1.153048000000000000e+15,1.294528484327770839e-08,-3.216781062190530741e-08,2.294834232561729087e-11,5.756160275950818486e-11,4.024297766308770896e-01,1.013655054711594871e-03
2.700000000000000000e+03,1.110342000000000000e+15,1.687781107581135126e-08,-7.478283313261446109e-08,3.089359989203069953e-11,1.374186691590966648e-10,2.256909823927299441e-01,5.853679790316294700e-04
