PHOTOELECTRIC EFFECT LAB - RAW DATA
Date: 2026-04-06 17:45:58
Portland State University Physics Dept.
Photocathode: Material #1
Work Function: 4.3700 eV
Wavelength: 1700 Angstroms
Frequency: 1.763485e+15 Hz
============================================================

Raw Current Data:
----------------------------------------
V_r (V)		I_total (A)		sigma_I (A)
0.00000		1.514106e-10		4.928247e-11
0.00307		1.567173e-10		4.721843e-11
0.00615		1.516980e-10		4.438554e-11
0.00922		1.494169e-10		5.054251e-11
0.01229		1.544122e-10		4.777363e-11
0.01537		1.474481e-10		4.648650e-11
0.01844		1.545725e-10		4.804021e-11
0.02151		1.534104e-10		4.565603e-11
0.02458		1.527470e-10		4.806845e-11
0.02766		1.502370e-10		4.728398e-11
0.03073		1.522798e-10		4.860126e-11
0.03380		1.486535e-10		4.877653e-11
0.03688		1.501282e-10		4.822481e-11
0.03995		1.364723e-10		4.613515e-11
0.04302		1.506115e-10		5.023693e-11
0.04610		1.543622e-10		4.607193e-11
0.04917		1.488539e-10		4.792281e-11
0.05224		1.409567e-10		5.163796e-11
0.05532		1.453494e-10		4.838500e-11
0.05839		1.502420e-10		4.912988e-11
0.06146		1.510126e-10		5.155474e-11
0.06453		1.410263e-10		4.667247e-11
0.06761		1.557325e-10		5.384889e-11
0.07068		1.540301e-10		5.107258e-11
0.07375		1.491985e-10		4.835813e-11
0.07683		1.375031e-10		4.933736e-11
0.07990		1.437188e-10		4.885289e-11
0.08297		1.467459e-10		4.949832e-11
0.08605		1.521236e-10		4.974239e-11
0.08912		1.491739e-10		4.881884e-11
0.09219		1.469052e-10		5.049990e-11
0.09527		1.431527e-10		4.761548e-11
0.09834		1.473298e-10		4.531472e-11
0.10141		1.490088e-10		4.722774e-11
0.10448		1.493207e-10		4.645406e-11
0.10756		1.486654e-10		5.034938e-11
0.11063		1.465750e-10		4.705573e-11
0.11370		1.411995e-10		4.569161e-11
0.11678		1.547472e-10		4.476224e-11
0.11985		1.564467e-10		4.463936e-11
0.12292		1.557966e-10		4.997511e-11
0.12600		1.488174e-10		4.578830e-11
0.12907		1.470271e-10		4.701717e-11
0.13214		1.438181e-10		4.827035e-11
0.13522		1.435197e-10		4.551942e-11
0.13829		1.457335e-10		4.499768e-11
0.14136		1.458320e-10		4.659012e-11
0.14443		1.557069e-10		4.367173e-11
0.14751		1.415443e-10		4.529779e-11
0.15058		1.596693e-10		4.287129e-11
0.15365		1.510964e-10		4.822219e-11
0.15673		1.675226e-10		4.487127e-11
0.15980		1.448051e-10		4.594226e-11
0.16287		1.452073e-10		4.783828e-11
0.16595		1.476173e-10		4.796258e-11
0.16902		1.526932e-10		4.146293e-11
0.17209		1.427968e-10		4.454058e-11
0.17517		1.466910e-10		5.098730e-11
0.17824		1.555100e-10		4.858291e-11
0.18131		1.484236e-10		4.614073e-11
0.18438		1.400094e-10		4.841965e-11
0.18746		1.454788e-10		4.856437e-11
0.19053		1.473202e-10		4.946659e-11
0.19360		1.520890e-10		4.938936e-11
0.19668		1.491271e-10		4.988275e-11
0.19975		1.578003e-10		4.510980e-11
0.20282		1.464872e-10		4.863405e-11
0.20590		1.416606e-10		4.674237e-11
0.20897		1.469426e-10		4.670189e-11
0.21204		1.492751e-10		5.085489e-11
0.21512		1.351256e-10		4.631132e-11
0.21819		1.450080e-10		4.643752e-11
0.22126		1.468497e-10		4.724870e-11
0.22433		1.563816e-10		4.672155e-11
0.22741		1.448329e-10		4.287680e-11
0.23048		1.482858e-10		4.537757e-11
0.23355		1.445395e-10		4.302345e-11
0.23663		1.485530e-10		4.847114e-11
0.23970		1.428994e-10		4.579729e-11
0.24277		1.483945e-10		4.712440e-11
0.24585		1.509868e-10		5.107393e-11
0.24892		1.456143e-10		4.746379e-11
0.25199		1.506181e-10		4.724704e-11
0.25507		1.362212e-10		4.646313e-11
0.25814		1.414332e-10		4.888542e-11
0.26121		1.604046e-10		4.557803e-11
0.26428		1.474649e-10		4.441357e-11
0.26736		1.516586e-10		5.328224e-11
0.27043		1.470705e-10		4.443580e-11
0.27350		1.528486e-10		4.703521e-11
0.27658		1.515764e-10		4.748984e-11
0.27965		1.365430e-10		4.445080e-11
0.28272		1.476825e-10		4.562661e-11
0.28580		1.454559e-10		4.842571e-11
0.28887		1.472607e-10		4.657664e-11
0.29194		1.398860e-10		5.017266e-11
0.29502		1.460538e-10		4.529967e-11
0.29809		1.465962e-10		4.567482e-11
0.30116		1.514200e-10		4.796820e-11
0.30423		1.516609e-10		4.702084e-11
0.30731		1.519116e-10		4.401701e-11
0.31038		1.541698e-10		4.429722e-11
0.31345		1.482923e-10		4.705316e-11
0.31653		1.487669e-10		4.778767e-11
0.31960		1.458160e-10		4.415994e-11
0.32267		1.456211e-10		4.828034e-11
0.32575		1.447311e-10		5.027286e-11
0.32882		1.429474e-10		4.860687e-11
0.33189		1.479632e-10		4.378600e-11
0.33496		1.406631e-10		4.739830e-11
0.33804		1.433507e-10		4.749896e-11
0.34111		1.471483e-10		4.841831e-11
0.34418		1.462435e-10		4.997109e-11
0.34726		1.394592e-10		5.217095e-11
0.35033		1.557345e-10		4.933825e-11
0.35340		1.488268e-10		4.873215e-11
0.35648		1.533780e-10		4.631200e-11
0.35955		1.401014e-10		4.604131e-11
0.36262		1.393295e-10		4.653818e-11
0.36570		1.485882e-10		4.682340e-11
0.36877		1.488820e-10		4.802665e-11
0.37184		1.456434e-10		4.698344e-11
0.37491		1.461336e-10		4.665207e-11
0.37799		1.539895e-10		4.913311e-11
0.38106		1.482746e-10		4.473935e-11
0.38413		1.491506e-10		4.898757e-11
0.38721		1.473306e-10		4.697842e-11
0.39028		1.482097e-10		5.372885e-11
0.39335		1.449429e-10		4.914930e-11
0.39643		1.466111e-10		4.606130e-11
0.39950		1.453931e-10		4.244357e-11
0.40257		1.456562e-10		4.620826e-11
0.40565		1.417157e-10		4.321097e-11
0.40872		1.449773e-10		4.325969e-11
0.41179		1.420945e-10		4.581842e-11
0.41486		1.448508e-10		4.544859e-11
0.41794		1.483211e-10		4.488641e-11
0.42101		1.477405e-10		4.690638e-11
0.42408		1.410001e-10		4.458480e-11
0.42716		1.464695e-10		4.337567e-11
0.43023		1.426952e-10		4.848624e-11
0.43330		1.362688e-10		4.720828e-11
0.43638		1.474529e-10		4.718813e-11
0.43945		1.466265e-10		4.746842e-11
0.44252		1.374687e-10		4.267142e-11
0.44560		1.541953e-10		4.378747e-11
0.44867		1.356213e-10		4.637224e-11
0.45174		1.430434e-10		4.506233e-11
0.45481		1.417387e-10		4.547100e-11
0.45789		1.417562e-10		4.469277e-11
0.46096		1.489219e-10		5.106481e-11
0.46403		1.420032e-10		4.893877e-11
0.46711		1.425899e-10		4.389807e-11
0.47018		1.384573e-10		4.856626e-11
0.47325		1.464517e-10		4.737406e-11
0.47633		1.418011e-10		4.788604e-11
0.47940		1.404027e-10		4.766509e-11
0.48247		1.422167e-10		4.506660e-11
0.48555		1.392684e-10		4.669884e-11
0.48862		1.433540e-10		4.570814e-11
0.49169		1.468703e-10		4.405898e-11
0.49476		1.453114e-10		4.505383e-11
0.49784		1.433655e-10		4.354403e-11
0.50091		1.467502e-10		5.014932e-11
0.50398		1.351755e-10		4.367075e-11
0.50706		1.448592e-10		4.542920e-11
0.51013		1.467971e-10		4.681063e-11
0.51320		1.399118e-10		4.656841e-11
0.51628		1.527469e-10		4.989427e-11
0.51935		1.422464e-10		4.096867e-11
0.52242		1.442031e-10		4.692077e-11
0.52550		1.394084e-10		4.793623e-11
0.52857		1.490133e-10		4.912724e-11
0.53164		1.534933e-10		4.711695e-11
0.53471		1.411308e-10		4.393729e-11
0.53779		1.355981e-10		4.405959e-11
0.54086		1.345070e-10		4.434009e-11
0.54393		1.416070e-10		4.635402e-11
0.54701		1.422500e-10		4.542183e-11
0.55008		1.446772e-10		4.676926e-11
0.55315		1.459072e-10		4.491855e-11
0.55623		1.460839e-10		4.889972e-11
0.55930		1.374131e-10		4.739686e-11
0.56237		1.521645e-10		4.216889e-11
0.56545		1.433180e-10		4.169742e-11
0.56852		1.349426e-10		4.630365e-11
0.57159		1.494923e-10		4.524778e-11
0.57466		1.483853e-10		4.260727e-11
0.57774		1.475136e-10		4.598343e-11
0.58081		1.425987e-10		4.457698e-11
0.58388		1.393513e-10		4.593032e-11
0.58696		1.439072e-10		4.438203e-11
0.59003		1.437488e-10		4.595983e-11
0.59310		1.383002e-10		4.709087e-11
0.59618		1.394604e-10		4.533694e-11
0.59925		1.380823e-10		4.548316e-11
0.60232		1.377118e-10		4.640716e-11
0.60540		1.440961e-10		4.819571e-11
0.60847		1.340042e-10		4.536792e-11
0.61154		1.401422e-10		4.067338e-11
0.61461		1.413548e-10		4.677483e-11
0.61769		1.412896e-10		4.336816e-11
0.62076		1.418206e-10		4.517149e-11
0.62383		1.438530e-10		4.094799e-11
0.62691		1.411285e-10		4.520173e-11
0.62998		1.455316e-10		4.748550e-11
0.63305		1.380720e-10		4.358679e-11
0.63613		1.385839e-10		4.809794e-11
0.63920		1.422561e-10		4.301618e-11
0.64227		1.422291e-10		4.293104e-11
0.64535		1.394312e-10		4.459247e-11
0.64842		1.463284e-10		4.162457e-11
0.65149		1.424365e-10		4.381708e-11
0.65456		1.374409e-10		4.347925e-11
0.65764		1.453363e-10		4.845349e-11
0.66071		1.415843e-10		4.798310e-11
0.66378		1.368475e-10		4.266739e-11
0.66686		1.355453e-10		4.226403e-11
0.66993		1.487936e-10		4.799474e-11
0.67300		1.380927e-10		4.537454e-11
0.67608		1.364793e-10		4.403257e-11
0.67915		1.411439e-10		4.920309e-11
0.68222		1.405557e-10		4.263937e-11
0.68530		1.301330e-10		4.114513e-11
0.68837		1.360337e-10		4.385681e-11
0.69144		1.369330e-10		4.602735e-11
0.69451		1.419029e-10		4.531093e-11
0.69759		1.432968e-10		4.518303e-11
0.70066		1.355625e-10		4.492856e-11
0.70373		1.343220e-10		4.440524e-11
0.70681		1.263187e-10		3.658279e-11
0.70988		1.385315e-10		4.304181e-11
0.71295		1.326382e-10		4.444339e-11
0.71603		1.339020e-10		4.507152e-11
0.71910		1.368723e-10		4.044932e-11
0.72217		1.330580e-10		4.474254e-11
0.72525		1.397406e-10		4.490179e-11
0.72832		1.358973e-10		4.630714e-11
0.73139		1.325962e-10		4.768636e-11
0.73446		1.421924e-10		4.114707e-11
0.73754		1.376814e-10		4.290155e-11
0.74061		1.347533e-10		4.333089e-11
0.74368		1.337942e-10		4.165186e-11
0.74676		1.365515e-10		4.728661e-11
0.74983		1.389838e-10		4.371624e-11
0.75290		1.365253e-10		4.047122e-11
0.75598		1.387346e-10		4.064523e-11
0.75905		1.384770e-10		4.867601e-11
0.76212		1.383374e-10		3.903042e-11
0.76520		1.338441e-10		4.577952e-11
0.76827		1.326407e-10		4.352540e-11
0.77134		1.335981e-10		4.214744e-11
0.77441		1.251485e-10		4.406859e-11
0.77749		1.328946e-10		4.808094e-11
0.78056		1.345109e-10		4.208872e-11
0.78363		1.274932e-10		4.523192e-11
0.78671		1.346391e-10		4.612117e-11
0.78978		1.412203e-10		4.451637e-11
0.79285		1.382813e-10		4.342691e-11
0.79593		1.300749e-10		4.271456e-11
0.79900		1.416235e-10		4.123691e-11
0.80207		1.335946e-10		4.490684e-11
0.80515		1.298321e-10		4.409860e-11
0.80822		1.294604e-10		4.505069e-11
0.81129		1.331226e-10		4.380966e-11
0.81436		1.360459e-10		4.306212e-11
0.81744		1.358623e-10		4.515744e-11
0.82051		1.393907e-10		4.588658e-11
0.82358		1.342763e-10		4.459782e-11
0.82666		1.355992e-10		3.958322e-11
0.82973		1.263513e-10		4.155125e-11
0.83280		1.310326e-10		4.284342e-11
0.83588		1.285818e-10		4.525604e-11
0.83895		1.303236e-10		4.407323e-11
0.84202		1.327917e-10		4.301902e-11
0.84510		1.337559e-10		4.479226e-11
0.84817		1.410529e-10		4.013369e-11
0.85124		1.311023e-10		4.323299e-11
0.85431		1.353985e-10		4.303892e-11
0.85739		1.279780e-10		4.256126e-11
0.86046		1.376362e-10		4.406700e-11
0.86353		1.243067e-10		4.853068e-11
0.86661		1.344464e-10		4.071945e-11
0.86968		1.263224e-10		4.585450e-11
0.87275		1.301730e-10		4.121989e-11
0.87583		1.287389e-10		4.132693e-11
0.87890		1.376409e-10		4.623842e-11
0.88197		1.349444e-10		4.196955e-11
0.88505		1.352412e-10		4.481507e-11
0.88812		1.394349e-10		4.197918e-11
0.89119		1.314455e-10		4.348402e-11
0.89426		1.288415e-10		3.925377e-11
0.89734		1.314395e-10		4.312658e-11
0.90041		1.381670e-10		4.146900e-11
0.90348		1.390081e-10		4.130748e-11
0.90656		1.326062e-10		4.751786e-11
0.90963		1.252564e-10		3.866880e-11
0.91270		1.310572e-10		3.866954e-11
0.91578		1.269302e-10		4.101505e-11
0.91885		1.229292e-10		4.359874e-11
0.92192		1.250172e-10		4.094191e-11
0.92499		1.321721e-10		4.424466e-11
0.92807		1.322180e-10		4.669692e-11
0.93114		1.317567e-10		4.177209e-11
0.93421		1.298323e-10		4.272100e-11
0.93729		1.303325e-10		4.480749e-11
0.94036		1.262257e-10		3.599057e-11
0.94343		1.316230e-10		4.463230e-11
0.94651		1.273524e-10		4.119276e-11
0.94958		1.229789e-10		4.218318e-11
0.95265		1.270577e-10		4.512063e-11
0.95573		1.289923e-10		4.013797e-11
0.95880		1.376997e-10		4.054696e-11
0.96187		1.279047e-10		3.787467e-11
0.96494		1.228206e-10		4.141138e-11
0.96802		1.287464e-10		3.956748e-11
0.97109		1.283538e-10		4.229565e-11
0.97416		1.288319e-10		3.763186e-11
0.97724		1.288284e-10		3.880824e-11
0.98031		1.322419e-10		4.046849e-11
0.98338		1.252464e-10		4.007335e-11
0.98646		1.322850e-10		4.555334e-11
0.98953		1.279120e-10		3.838173e-11
0.99260		1.347725e-10		4.288376e-11
0.99568		1.294638e-10		4.168927e-11
0.99875		1.354827e-10		4.511878e-11
1.00182		1.231975e-10		3.977597e-11
1.00489		1.213858e-10		3.912493e-11
1.00797		1.281264e-10		4.245285e-11
1.01104		1.252008e-10		4.235009e-11
1.01411		1.215236e-10		4.312360e-11
1.01719		1.257187e-10		4.260001e-11
1.02026		1.326421e-10		3.790712e-11
1.02333		1.266367e-10		4.102992e-11
1.02641		1.244061e-10		4.028600e-11
1.02948		1.259882e-10		4.299152e-11
1.03255		1.318968e-10		3.932633e-11
1.03563		1.196558e-10		3.982677e-11
1.03870		1.238624e-10		4.134693e-11
1.04177		1.265879e-10		4.000586e-11
1.04484		1.293765e-10		4.335466e-11
1.04792		1.244024e-10		3.975445e-11
1.05099		1.296890e-10		4.136361e-11
1.05406		1.273179e-10		4.044073e-11
1.05714		1.235830e-10		3.984754e-11
1.06021		1.282203e-10		3.806756e-11
1.06328		1.293557e-10		3.784932e-11
1.06636		1.217782e-10		3.968210e-11
1.06943		1.278686e-10		4.158188e-11
1.07250		1.174957e-10		3.723262e-11
1.07558		1.223752e-10		4.072960e-11
1.07865		1.282571e-10		3.924124e-11
1.08172		1.290353e-10		3.660979e-11
1.08479		1.164320e-10		3.940821e-11
1.08787		1.215486e-10		4.126042e-11
1.09094		1.196010e-10		3.817144e-11
1.09401		1.294762e-10		4.290212e-11
1.09709		1.205615e-10		4.001267e-11
1.10016		1.212828e-10		3.757580e-11
1.10323		1.200034e-10		4.019957e-11
1.10631		1.271078e-10		3.465541e-11
1.10938		1.292990e-10		3.913642e-11
1.11245		1.259311e-10		4.004535e-11
1.11553		1.210949e-10		3.972449e-11
1.11860		1.243135e-10		4.141554e-11
1.12167		1.309427e-10		3.839464e-11
1.12474		1.257739e-10		3.884338e-11
1.12782		1.260068e-10		4.182297e-11
1.13089		1.258065e-10		3.451294e-11
1.13396		1.271915e-10		3.957331e-11
1.13704		1.256050e-10		4.009062e-11
1.14011		1.254497e-10		4.029339e-11
1.14318		1.201979e-10		3.637673e-11
1.14626		1.193016e-10		4.020518e-11
1.14933		1.192536e-10		4.024579e-11
1.15240		1.194109e-10		3.791018e-11
1.15548		1.231709e-10		4.069259e-11
1.15855		1.137611e-10		4.071242e-11
1.16162		1.207866e-10		3.905310e-11
1.16469		1.236464e-10		4.031350e-11
1.16777		1.255978e-10		3.618986e-11
1.17084		1.204602e-10		3.812942e-11
1.17391		1.144683e-10		3.978497e-11
1.17699		1.232420e-10		3.762460e-11
1.18006		1.156949e-10		3.760037e-11
1.18313		1.231928e-10		4.019363e-11
1.18621		1.243299e-10		3.578857e-11
1.18928		1.174533e-10		3.842212e-11
1.19235		1.236579e-10		3.602748e-11
1.19543		1.252145e-10		3.734990e-11
1.19850		1.204936e-10		3.760233e-11
1.20157		1.156215e-10		3.974585e-11
1.20464		1.188406e-10		3.792407e-11
1.20772		1.217137e-10		4.009424e-11
1.21079		1.151648e-10		3.770440e-11
1.21386		1.206955e-10		3.708717e-11
1.21694		1.079611e-10		3.685485e-11
1.22001		1.179615e-10		3.609099e-11
1.22308		1.202601e-10		3.808811e-11
1.22616		1.240750e-10		3.848968e-11
1.22923		1.211226e-10		3.853405e-11
1.23230		1.146721e-10		3.930148e-11
1.23538		1.173075e-10		3.706468e-11
1.23845		1.249557e-10		3.580926e-11
1.24152		1.206166e-10		4.006851e-11
1.24459		1.164518e-10		3.570112e-11
1.24767		1.124853e-10		3.725238e-11
1.25074		1.172086e-10		4.257922e-11
1.25381		1.134995e-10		3.416378e-11
1.25689		1.170357e-10		3.689673e-11
1.25996		1.182772e-10		3.723864e-11
1.26303		1.219445e-10		3.813237e-11
1.26611		1.255476e-10		3.741153e-11
1.26918		1.205846e-10		3.298208e-11
1.27225		1.163617e-10		3.504246e-11
1.27533		1.225341e-10		3.763273e-11
1.27840		1.159484e-10		3.553898e-11
1.28147		1.071363e-10		3.379535e-11
1.28454		1.124752e-10		3.632407e-11
1.28762		1.171131e-10		3.435427e-11
1.29069		1.127687e-10		3.857318e-11
1.29376		1.177453e-10		3.580205e-11
1.29684		1.160453e-10		3.687691e-11
1.29991		1.150534e-10		3.646049e-11
1.30298		1.209769e-10		3.271541e-11
1.30606		1.134833e-10		3.771213e-11
1.30913		1.169985e-10		3.741660e-11
1.31220		1.085558e-10		3.790077e-11
1.31528		1.072940e-10		3.315489e-11
1.31835		1.107013e-10		3.646072e-11
1.32142		1.122415e-10		3.810672e-11
1.32449		1.132323e-10		3.883523e-11
1.32757		1.130207e-10		3.752141e-11
1.33064		1.108760e-10		3.919917e-11
1.33371		1.156413e-10		3.744686e-11
1.33679		1.178661e-10		3.353947e-11
1.33986		1.079533e-10		3.575180e-11
1.34293		1.151897e-10		3.753501e-11
1.34601		1.123101e-10		3.861285e-11
1.34908		1.079327e-10		3.435048e-11
1.35215		1.077981e-10		3.480789e-11
1.35523		1.130376e-10		3.592523e-11
1.35830		1.102134e-10		3.604723e-11
1.36137		1.054154e-10		3.545352e-11
1.36444		1.109557e-10		3.300638e-11
1.36752		1.132059e-10		3.769111e-11
1.37059		1.114530e-10		3.461589e-11
1.37366		1.090812e-10		3.571932e-11
1.37674		1.073482e-10		3.710599e-11
1.37981		1.046942e-10		3.682606e-11
1.38288		1.119295e-10		3.258921e-11
1.38596		1.093927e-10		3.588358e-11
1.38903		1.078587e-10		3.604894e-11
1.39210		1.099057e-10		3.452279e-11
1.39518		1.067933e-10		3.594330e-11
1.39825		9.739980e-11		3.690529e-11
1.40132		1.075874e-10		3.381769e-11
1.40439		1.043421e-10		3.259131e-11
1.40747		1.061314e-10		3.737114e-11
1.41054		1.097552e-10		3.488633e-11
1.41361		1.108220e-10		3.368363e-11
1.41669		1.055834e-10		3.576965e-11
