PHOTOELECTRIC EFFECT LAB - RAW DATA
Date: 2026-04-06 17:28:36
Portland State University Physics Dept.
Photocathode: Material #1
Work Function: 4.3700 eV
Wavelength: 2700 Angstroms
Frequency: 1.110342e+15 Hz
============================================================

Raw Current Data:
----------------------------------------
V_r (V)		I_total (A)		sigma_I (A)
0.00000		1.116198e-08		3.621226e-09
0.00023		1.116266e-08		3.595685e-09
0.00046		1.130931e-08		3.397189e-09
0.00069		1.130327e-08		3.650480e-09
0.00092		1.152774e-08		3.265192e-09
0.00115		1.103325e-08		3.545054e-09
0.00138		1.036886e-08		3.362891e-09
0.00161		1.127872e-08		3.245627e-09
0.00184		1.094549e-08		3.637552e-09
0.00207		1.070985e-08		3.428107e-09
0.00230		1.102864e-08		3.579766e-09
0.00253		1.100599e-08		3.534700e-09
0.00276		1.066141e-08		3.741302e-09
0.00299		1.097240e-08		3.430386e-09
0.00322		1.064519e-08		3.523619e-09
0.00345		1.110006e-08		3.567888e-09
0.00368		1.094121e-08		3.126572e-09
0.00391		1.021774e-08		3.760563e-09
0.00414		1.051484e-08		3.637278e-09
0.00437		1.093710e-08		3.404064e-09
0.00460		1.078279e-08		3.530960e-09
0.00483		1.101151e-08		3.672107e-09
0.00507		1.098807e-08		3.282770e-09
0.00530		1.080684e-08		3.413899e-09
0.00553		1.119815e-08		3.481806e-09
0.00576		1.120904e-08		3.111670e-09
0.00599		1.124449e-08		3.544937e-09
0.00622		1.080817e-08		3.546861e-09
0.00645		1.152295e-08		3.297729e-09
0.00668		1.057132e-08		3.880040e-09
0.00691		1.129183e-08		3.518581e-09
0.00714		1.067336e-08		3.433396e-09
0.00737		1.052038e-08		3.471922e-09
0.00760		1.136924e-08		3.866990e-09
0.00783		1.174449e-08		3.111059e-09
0.00806		1.060414e-08		3.522056e-09
0.00829		1.050403e-08		3.586747e-09
0.00852		1.097154e-08		3.458304e-09
0.00875		1.111161e-08		3.340851e-09
0.00898		1.143955e-08		3.352125e-09
0.00921		1.075021e-08		3.659497e-09
0.00944		1.115802e-08		3.642106e-09
0.00967		9.818999e-09		3.334693e-09
0.00990		1.132084e-08		3.880403e-09
0.01013		1.093045e-08		3.352680e-09
0.01036		1.119134e-08		3.419984e-09
0.01059		1.107000e-08		3.366106e-09
0.01082		1.117810e-08		3.361607e-09
0.01105		1.123562e-08		3.368639e-09
0.01128		1.050196e-08		3.461572e-09
0.01151		1.125758e-08		3.181423e-09
0.01174		1.042456e-08		3.517590e-09
0.01197		1.095226e-08		2.976781e-09
0.01220		1.114418e-08		3.551506e-09
0.01243		1.050282e-08		3.417808e-09
0.01266		1.086680e-08		3.421686e-09
