wavelength,Vr (V),I_photo (A),sigma_photo (A)
1700A,0.0,1.51419067084178e-10,4.9818198994779624e-12
1700A,0.03073,1.52288267084178e-10,4.914441550542809e-12
1700A,0.06146,1.51021067084178e-10,5.2067094390316814e-12
1700A,0.09219,1.46913667084178e-10,5.102284784086989e-12
1700A,0.12292,1.55805067084178e-10,5.050349216930113e-12
1700A,0.15365,1.5110486708417798e-10,4.876956745941736e-12
1700A,0.18438,1.40017867084178e-10,4.896482010489838e-12
1700A,0.21512,1.35134067084178e-10,4.68810138747549e-12
1700A,0.24585,1.50995267084178e-10,5.159105956876114e-12
1700A,0.27658,1.51584867084178e-10,4.804556176181272e-12
1700A,0.30731,1.5192006708417798e-10,4.461600913486841e-12
1700A,0.33804,1.4335916708417798e-10,4.805457629471059e-12
1700A,0.36877,1.48890467084178e-10,4.8576230936591414e-12
1700A,0.3995,1.45401567084178e-10,4.30644602442369e-12
1700A,0.43023,1.42703667084178e-10,4.903066969887482e-12
1700A,0.46096,1.48930367084178e-10,5.158203100032666e-12
1700A,0.49169,1.46878767084178e-10,4.465741618614943e-12
1700A,0.52242,1.44211567084178e-10,4.748315237192516e-12
1700A,0.55315,1.45915667084178e-10,4.550568355584895e-12
1700A,0.58388,1.3935976708417798e-10,4.650468145342962e-12
1700A,0.61461,1.4136326708417798e-10,4.73389461575927e-12
1700A,0.64535,1.39439667084178e-10,4.51838409443405e-12
1700A,0.67608,1.36487767084178e-10,4.463136030402234e-12
1700A,0.70681,1.26327167084178e-10,3.730136225349767e-12
1700A,0.73754,1.3768986708417798e-10,4.351590622042772e-12
1700A,0.76827,1.32649167084178e-10,4.413107235205781e-12
1700A,0.799,1.41631967084178e-10,4.187569519578942e-12
1700A,0.82973,1.26359767084178e-10,4.218527561063293e-12
1700A,0.86046,1.37644667084178e-10,4.466532873250304e-12
1700A,0.89119,1.31453967084178e-10,4.409026079694881e-12
1700A,0.92192,1.25025667084178e-10,4.158522689887192e-12
1700A,0.95265,1.2706616708417798e-10,4.57051676879044e-12
1700A,0.98338,1.25254867084178e-10,4.073038769770134e-12
1700A,1.01411,1.2153206708417799e-10,4.373483712948478e-12
1700A,1.04484,1.2938496708417798e-10,4.396268469393288e-12
1700A,1.07558,1.2238366708417798e-10,4.137621802367346e-12
1700A,1.10631,1.27116267084178e-10,3.5413112600428966e-12
1700A,1.13704,1.25613467084178e-10,4.074737922574851e-12
1700A,1.16777,1.25606267084178e-10,3.6916081436173056e-12
1700A,1.1985,1.20502067084178e-10,3.8301779635043865e-12
1700A,1.22923,1.2113106708417798e-10,3.921688553652701e-12
1700A,1.25996,1.1828566708417798e-10,3.794479425207312e-12
1700A,1.29069,1.12777167084178e-10,3.925533488705658e-12
1700A,1.32142,1.1224996708417801e-10,3.879707735050361e-12
1700A,1.35215,1.07806567084178e-10,3.556234396148067e-12
1700A,1.38288,1.1193796708417801e-10,3.3393827426736527e-12
1700A,1.41361,1.1083046708417801e-10,3.4462704939680244e-12
1700A,1.44434,1.09470067084178e-10,3.543758785751312e-12
1700A,1.47508,1.02072767084178e-10,3.160553866289042e-12
1700A,1.50581,9.4320377084178e-11,3.2436547027812027e-12
1700A,1.53654,1.05058767084178e-10,3.1698532187712744e-12
1700A,1.56727,9.584289708417801e-11,3.352103897532207e-12
1700A,1.598,1.0165116708417801e-10,3.400532121084818e-12
1700A,1.62873,9.3895847084178e-11,3.1405036116345428e-12
1700A,1.65946,9.493434708417801e-11,3.1069339451654922e-12
1700A,1.69019,9.405513708417801e-11,3.0657675149804836e-12
1700A,1.72092,8.7080927084178e-11,2.709225991284339e-12
1700A,1.75165,9.0351987084178e-11,2.865377533030265e-12
1700A,1.78238,8.9580907084178e-11,2.8547907725342342e-12
1700A,1.81311,8.807654708417801e-11,2.793445760948583e-12
1700A,1.84384,7.889061708417801e-11,2.8576741088981105e-12
1700A,1.87457,7.9463917084178e-11,3.0118371933865567e-12
1700A,1.90531,8.296940708417801e-11,2.5562234544645367e-12
1700A,1.93604,7.7916937084178e-11,2.4979112032075137e-12
1700A,1.96677,7.6849997084178e-11,2.4405060300344702e-12
1700A,1.9975,7.196387708417801e-11,2.390834765019659e-12
1700A,2.02823,6.6157687084178e-11,2.4147776229811742e-12
1700A,2.05896,6.5918957084178e-11,2.5431772000382923e-12
1700A,2.08969,6.8049367084178e-11,2.406110964505712e-12
1700A,2.12042,6.233707708417801e-11,2.292598696515945e-12
1700A,2.15115,5.999089708417801e-11,2.1073028195896783e-12
1700A,2.18188,5.8397577084178e-11,2.0030418448076934e-12
1700A,2.21261,5.9307867084178e-11,1.945283853850026e-12
1700A,2.24334,5.1919787084177996e-11,1.812519331647144e-12
1700A,2.27407,5.0348637084178e-11,1.9153670170874847e-12
1700A,2.3048,4.6312427084178e-11,1.8720938518967495e-12
1700A,2.33554,4.9394527084177996e-11,1.9497241142688904e-12
1700A,2.36627,4.4811487084178e-11,1.6856053565560977e-12
1700A,2.397,4.3045697084177996e-11,1.6623418116773125e-12
1700A,2.42773,3.7740347084178e-11,1.6077807455777697e-12
1700A,2.45846,3.7585987084177996e-11,1.5693584421191385e-12
1700A,2.48919,3.4363037084177996e-11,1.4528338599009212e-12
1700A,2.51992,3.2884797084178e-11,1.37629203336596e-12
1700A,2.55065,2.9715187084178e-11,1.3779297468545373e-12
1700A,2.58138,2.8114097084178e-11,1.275687106995524e-12
1700A,2.61211,2.5605397084177998e-11,1.2458395791732615e-12
1700A,2.64284,2.3291267084178e-11,1.313712237215445e-12
1700A,2.67357,2.1198077084178e-11,1.2484276893443244e-12
1700A,2.7043,1.8768297084178e-11,1.137375847018961e-12
1700A,2.73504,1.5453747084178e-11,1.1246354778935347e-12
1700A,2.76577,1.4317667084178e-11,1.067495845789509e-12
1700A,2.7965,1.1576747084178e-11,1.0513651123913372e-12
1700A,2.82723,8.655809084178e-12,1.0491723080731874e-12
1700A,2.85796,5.658406084178e-12,1.0359701366431463e-12
1700A,2.88869,3.038307084178e-12,9.731125396952292e-13
1700A,2.91942,6.398224841780001e-13,9.933687537248437e-13
1700A,2.95015,-3.18227015822e-13,1.010295284209448e-12
1700A,2.98088,6.658135841780001e-13,1.0168054818803149e-12
1700A,3.01161,2.60364484178e-13,1.0353539327607005e-12
1700A,3.04234,-6.755577582200001e-14,1.058738270868041e-12
1800A,0.0,2.96832867084178e-10,8.732393038870078e-12
1800A,0.02673,2.92190267084178e-10,9.434465864276294e-12
1800A,0.05345,3.04273167084178e-10,9.003828941657523e-12
1800A,0.08018,2.94766667084178e-10,8.931027465686723e-12
1800A,0.10691,3.00657667084178e-10,8.671057207119938e-12
1800A,0.13363,2.66580167084178e-10,9.034458495040508e-12
1800A,0.16036,2.95955267084178e-10,8.95287756185181e-12
1800A,0.18709,2.98146167084178e-10,9.398163040373933e-12
1800A,0.21381,2.78624767084178e-10,8.776861217082199e-12
1800A,0.24054,2.95290167084178e-10,9.67994719474495e-12
1800A,0.26727,2.79893667084178e-10,9.604488575344634e-12
1800A,0.29399,3.01725367084178e-10,9.724444178537385e-12
1800A,0.32072,2.85130167084178e-10,8.612102899756924e-12
