  idx        ==1700A==         |        ==1800A==         |        ==1900A==         |        ==2000A==         |        ==2100A==         |        ==2200A==         |        ==2300A==         |        ==2400A==         |        ==2500A==         |        ==2600A==         |        ==2700A==         |  
          Vr (V)  I_photo (A)  |     Vr (V)  I_photo (A)  |     Vr (V)  I_photo (A)  |     Vr (V)  I_photo (A)  |     Vr (V)  I_photo (A)  |     Vr (V)  I_photo (A)  |     Vr (V)  I_photo (A)  |     Vr (V)  I_photo (A)  |     Vr (V)  I_photo (A)  |     Vr (V)  I_photo (A)  |     Vr (V)  I_photo (A)  |  
-----  ----------------------  |  ----------------------  |  ----------------------  |  ----------------------  |  ----------------------  |  ----------------------  |  ----------------------  |  ----------------------  |  ----------------------  |  ----------------------  |  ----------------------  |  
    0     0.0000     1.51e-10  |     0.0000     2.97e-10  |     0.0000     5.55e-10  |     0.0000     9.01e-10  |     0.0000     1.49e-09  |     0.0000     2.14e-09  |     0.0000     3.37e-09  |     0.0000     4.63e-09  |     0.0000     6.25e-09  |     0.0000     8.86e-09  |     0.0000     1.12e-08  |  
    1     0.0031     1.57e-10  |     0.0027     2.93e-10  |     0.0023     5.03e-10  |     0.0019     8.91e-10  |     0.0016     1.41e-09  |     0.0013     2.18e-09  |     0.0011     3.27e-09  |     0.0008     4.61e-09  |     0.0006     6.04e-09  |     0.0004     8.63e-09  |     0.0002     1.12e-08  |  
    2     0.0062     1.52e-10  |     0.0053     2.86e-10  |     0.0045     5.16e-10  |     0.0037     8.95e-10  |     0.0031     1.48e-09  |     0.0026     2.17e-09  |     0.0021     3.20e-09  |     0.0017     4.61e-09  |     0.0012     6.14e-09  |     0.0008     8.28e-09  |     0.0005     1.13e-08  |  
    3     0.0092     1.49e-10  |     0.0080     2.83e-10  |     0.0068     5.24e-10  |     0.0056     8.75e-10  |     0.0047     1.41e-09  |     0.0039     2.30e-09  |     0.0032     3.35e-09  |     0.0025     4.63e-09  |     0.0018     6.43e-09  |     0.0013     8.43e-09  |     0.0007     1.13e-08  |  
    4     0.0123     1.54e-10  |     0.0107     2.87e-10  |     0.0091     5.23e-10  |     0.0075     9.06e-10  |     0.0063     1.42e-09  |     0.0052     2.15e-09  |     0.0042     3.14e-09  |     0.0033     4.80e-09  |     0.0024     6.08e-09  |     0.0017     8.65e-09  |     0.0009     1.15e-08  |  
    5     0.0154     1.47e-10  |     0.0134     2.93e-10  |     0.0114     5.60e-10  |     0.0094     8.59e-10  |     0.0079     1.40e-09  |     0.0065     2.22e-09  |     0.0053     3.35e-09  |     0.0042     4.59e-09  |     0.0030     6.32e-09  |     0.0021     8.57e-09  |     0.0011     1.10e-08  |  
    6     0.0184     1.55e-10  |     0.0160     2.92e-10  |     0.0136     5.40e-10  |     0.0112     9.09e-10  |     0.0094     1.45e-09  |     0.0078     2.29e-09  |     0.0064     3.28e-09  |     0.0050     4.73e-09  |     0.0036     6.54e-09  |     0.0025     8.77e-09  |     0.0014     1.04e-08  |  
    7     0.0215     1.53e-10  |     0.0187     2.73e-10  |     0.0159     5.28e-10  |     0.0131     9.01e-10  |     0.0110     1.50e-09  |     0.0091     2.20e-09  |     0.0074     3.11e-09  |     0.0058     4.27e-09  |     0.0042     6.15e-09  |     0.0029     8.46e-09  |     0.0016     1.13e-08  |  
    8     0.0246     1.53e-10  |     0.0214     2.77e-10  |     0.0182     5.50e-10  |     0.0150     8.88e-10  |     0.0126     1.46e-09  |     0.0104     2.23e-09  |     0.0085     3.16e-09  |     0.0066     4.80e-09  |     0.0048     6.19e-09  |     0.0034     8.08e-09  |     0.0018     1.09e-08  |  
    9     0.0277     1.50e-10  |     0.0240     2.98e-10  |     0.0204     5.20e-10  |     0.0169     8.85e-10  |     0.0141     1.38e-09  |     0.0117     2.30e-09  |     0.0095     3.18e-09  |     0.0075     4.55e-09  |     0.0054     6.55e-09  |     0.0038     7.86e-09  |     0.0021     1.07e-08  |  
   10     0.0307     1.52e-10  |     0.0267     2.92e-10  |     0.0227     4.98e-10  |     0.0187     9.07e-10  |     0.0157     1.48e-09  |     0.0130     2.10e-09  |     0.0106     3.30e-09  |     0.0083     4.37e-09  |     0.0060     6.59e-09  |     0.0042     8.09e-09  |     0.0023     1.10e-08  |  
   11     0.0338     1.49e-10  |     0.0294     3.04e-10  |     0.0250     5.31e-10  |     0.0206     8.73e-10  |     0.0173     1.46e-09  |     0.0143     2.12e-09  |     0.0117     2.99e-09  |     0.0091     4.52e-09  |     0.0066     5.98e-09  |     0.0046     9.01e-09  |     0.0025     1.10e-08  |  
   12     0.0369     1.50e-10  |     0.0321     2.87e-10  |     0.0273     5.24e-10  |     0.0225     8.52e-10  |     0.0189     1.49e-09  |     0.0156     2.21e-09  |     0.0127     3.31e-09  |     0.0100     4.73e-09  |     0.0072     5.81e-09  |     0.0050     8.25e-09  |     0.0028     1.07e-08  |  
   13     0.0399     1.36e-10  |     0.0347     3.03e-10  |     0.0295     5.08e-10  |     0.0243     9.27e-10  |     0.0204     1.41e-09  |     0.0169     2.20e-09  |     0.0138     3.29e-09  |     0.0108     4.56e-09  |     0.0078     6.75e-09  |     0.0055     8.83e-09  |     0.0030     1.10e-08  |  
   14     0.0430     1.51e-10  |     0.0374     2.79e-10  |     0.0318     5.13e-10  |     0.0262     8.96e-10  |     0.0220     1.38e-09  |     0.0182     2.24e-09  |     0.0149     3.13e-09  |     0.0116     4.79e-09  |     0.0084     6.05e-09  |     0.0059     8.14e-09  |     0.0032     1.06e-08  |  
